,Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
6810,2007-09-19,"6600 South Kilpatrick Avenue, Chicago, IL 60629, USA",CULEX RESTUANS,66.0, S KILPATRICK AVE,T156,"6600  S KILPATRICK AVE, Chicago, IL",41.772846,-87.740029,9.0,1.0,0.0,1,84,65,75,12,59,65,0,10,0536,1755, ,0,M,0.0,0.00,29.41,30.11,5.0,26,9.7
6812,2007-09-19,"6600 South Kilpatrick Avenue, Chicago, IL 60629, USA",CULEX PIPIENS,66.0, S KILPATRICK AVE,T156,"6600  S KILPATRICK AVE, Chicago, IL",41.772846,-87.740029,9.0,2.0,0.0,1,84,65,75,12,59,65,0,10,0536,1755, ,0,M,0.0,0.00,29.41,30.11,5.0,26,9.7
6814,2007-09-19,"6600 South Kilpatrick Avenue, Chicago, IL 60629, USA",CULEX TERRITANS,66.0, S KILPATRICK AVE,T156,"6600  S KILPATRICK AVE, Chicago, IL",41.772846,-87.740029,9.0,1.0,0.0,1,84,65,75,12,59,65,0,10,0536,1755, ,0,M,0.0,0.00,29.41,30.11,5.0,26,9.7
6816,2007-09-19,"West 37th Place, Chicago, IL, USA",CULEX PIPIENS/RESTUANS,81.0, W 37TH PL.,T157,"8100  W 37TH PL., Chicago, IL",41.825902,-87.667827,5.0,1.0,0.0,1,84,65,75,12,59,65,0,10,0536,1755, ,0,M,0.0,0.00,29.41,30.11,5.0,26,9.7
6818,2007-09-19,"4000 East 130th Street, Chicago, IL 60633, USA",CULEX PIPIENS,40.0, E 130TH ST,T221,"4000  E 130TH ST, Chicago, IL",41.659112,-87.53869300000001,8.0,3.0,0.0,1,84,65,75,12,59,65,0,10,0536,1755, ,0,M,0.0,0.00,29.41,30.11,5.0,26,9.7
6820,2007-09-24,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,33.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6822,2007-09-24,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,41.0, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9.0,41.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6824,2007-09-24,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX PIPIENS,62.0, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6826,2007-09-24,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS,79.0, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8.0,5.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6828,2007-09-24,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11.0, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8.0,11.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6830,2007-09-24,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11.0, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8.0,5.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6832,2007-09-24,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX PIPIENS/RESTUANS,11.0, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6834,2007-09-24,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX PIPIENS,11.0, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6836,2007-09-24,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22.0, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8.0,7.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6838,2007-09-24,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS,22.0, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6840,2007-09-24,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6842,2007-09-24,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,12.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6844,2007-09-24,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6846,2007-09-24,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22.0, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6848,2007-09-24,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11.0, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6850,2007-09-24,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22.0, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8.0,17.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6852,2007-09-24,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22.0, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6854,2007-09-24,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22.0, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8.0,50.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6856,2007-09-24,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53.0, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6858,2007-09-24,"North Streeter Drive, Chicago, IL 60611, USA",CULEX TERRITANS,53.0, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6860,2007-09-24,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65.0, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8.0,10.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6862,2007-09-24,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS,65.0, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6864,2007-09-24,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75.0, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6866,2007-09-24,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS,75.0, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8.0,5.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6868,2007-09-24,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX PIPIENS/RESTUANS,15.0, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8.0,10.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6870,2007-09-24,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX PIPIENS/RESTUANS,89.0, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6872,2007-09-24,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX PIPIENS,89.0, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6874,2007-09-24,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,91.0, W HIGGINS AVE,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964000000005,-87.812827,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6876,2007-09-24,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX PIPIENS,91.0, W HIGGINS AVE,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964000000005,-87.812827,8.0,29.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6878,2007-09-24,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,36.0, N PITTSBURGH AVE,T011,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6880,2007-09-24,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,72.0, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8.0,5.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6882,2007-09-24,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX PIPIENS,72.0, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8.0,20.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6884,2007-09-24,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX PIPIENS/RESTUANS,38.0, N CALIFORNIA AVE,T019,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.69845699999999,9.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6886,2007-09-24,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,49.0, W BALMORAL AVE,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6888,2007-09-24,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX PIPIENS,49.0, W BALMORAL AVE,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6890,2007-09-24,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX PIPIENS/RESTUANS,58.0, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9.0,5.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6892,2007-09-24,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,58.0, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6894,2007-09-24,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX PIPIENS,58.0, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9.0,12.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6896,2007-09-24,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,50.0, S CENTRAL AVE,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801497999999995,-87.763416,9.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6898,2007-09-24,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS,50.0, S CENTRAL AVE,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801497999999995,-87.763416,9.0,20.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6900,2007-09-24,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX PIPIENS/RESTUANS,14.0, N HUMBOLDT DR,T033,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9.0,9.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6902,2007-09-24,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX PIPIENS,14.0, N HUMBOLDT DR,T033,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9.0,17.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6904,2007-09-24,"South Vincennes Avenue, Chicago, IL, USA",CULEX PIPIENS/RESTUANS,10.0, S VINCENNES,T089,"1000  S VINCENNES, Chicago, IL",41.723195000000004,-87.64997,5.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6906,2007-09-24,"South Vincennes Avenue, Chicago, IL, USA",CULEX PIPIENS,10.0, S VINCENNES,T089,"1000  S VINCENNES, Chicago, IL",41.723195000000004,-87.64997,5.0,7.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6908,2007-09-24,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS,11.0, S ASHLAND AVE,T090,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6910,2007-09-24,"1100 South State Street, Chicago, IL 60605, USA",CULEX PIPIENS/RESTUANS,11.0, S STATE ST,T092,"1100  S STATE ST, Chicago, IL",41.869215999999994,-87.627561,8.0,4.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6912,2007-09-24,"1100 South State Street, Chicago, IL 60605, USA",CULEX PIPIENS,11.0, S STATE ST,T092,"1100  S STATE ST, Chicago, IL",41.869215999999994,-87.627561,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6914,2007-09-24,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,42.0, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8.0,12.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6916,2007-09-24,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,42.0, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8.0,34.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6918,2007-09-24,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,53.0, W AGATITE AVE,T141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6920,2007-09-24,"Chicago, IL, USA",CULEX PIPIENS/RESTUANS,43.0, N ASHLAND AVE OVERPASS,T145,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114000000004,-87.629798,3.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6922,2007-09-24,"Chicago, IL, USA",CULEX PIPIENS/RESTUANS,43.0, N ASHLAND AVE OVERPASS,T145,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114000000004,-87.629798,3.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6924,2007-09-24,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX PIPIENS/RESTUANS,42.0, N RICHMOND ST,T146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6926,2007-09-24,"4200 North Richmond Street, Chicago, IL 60618, USA",CULEX PIPIENS,42.0, N RICHMOND ST,T146,"4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,9.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6928,2007-09-24,"2800 North Francisco Avenue, Chicago, IL 60618, USA",CULEX PIPIENS/RESTUANS,28.0, N FRANCISCO AVE,T147,"2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,8.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6930,2007-09-24,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX PIPIENS/RESTUANS,18.0, W FARWELL AVE,T150,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,9.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6932,2007-09-24,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX PIPIENS,18.0, W FARWELL AVE,T150,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,9.0,5.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6934,2007-09-24,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX TERRITANS,18.0, W FARWELL AVE,T150,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,9.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6936,2007-09-24,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS/RESTUANS,70.0,  W ARMITAGE AVENUE,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6938,2007-09-24,"7000 West Armitage Avenue, Chicago, IL 60707, USA",CULEX PIPIENS,70.0,  W ARMITAGE AVENUE,T151,"7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,8.0,22.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6940,2007-09-24,"2500 South Millard Avenue, Chicago, IL 60623, USA",CULEX PIPIENS,25.0, S MILLARD AVE,T152,"2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,9.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6942,2007-09-24,"2100 North Lawler Avenue, Chicago, IL 60639, USA",CULEX PIPIENS/RESTUANS,21.0, N LAWLER AVE,T154,"2100  N LAWLER AVE, Chicago, IL",41.918704999999996,-87.752329,8.0,7.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6944,2007-09-24,"2100 North Lawler Avenue, Chicago, IL 60639, USA",CULEX PIPIENS,21.0, N LAWLER AVE,T154,"2100  N LAWLER AVE, Chicago, IL",41.918704999999996,-87.752329,8.0,1.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6946,2007-09-24,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX PIPIENS/RESTUANS,35.0, W 116TH ST,T158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9.0,8.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6948,2007-09-24,"3500 West 116th Street, Chicago, IL 60655, USA",CULEX PIPIENS,35.0, W 116TH ST,T158,"3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,9.0,4.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6950,2007-09-24,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",CULEX PIPIENS/RESTUANS,93.0, S DR MARTIN LUTHER KING JR DR,T162,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725516999999996,-87.61425799999999,8.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6952,2007-09-24,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",CULEX PIPIENS,93.0, S DR MARTIN LUTHER KING JR DR,T162,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725516999999996,-87.61425799999999,8.0,7.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6954,2007-09-24,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX PIPIENS/RESTUANS,37.0, N KEDVALE AVE,T218,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8.0,7.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6956,2007-09-24,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",CULEX PIPIENS,37.0, N KEDVALE AVE,T218,"3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,8.0,4.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6958,2007-09-24,"4500 North Campbell Avenue, Chicago, IL 60625, USA",CULEX PIPIENS/RESTUANS,45.0, N CAMPBELL AVE,T220,"4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,9.0,2.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6960,2007-09-24,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,46.0, N MILWAUKEE AVE,T003,"4600  N MILWAUKEE AVE, Chicago, IL",41.964242,-87.757639,8.0,6.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6962,2007-09-24,"4600 Milwaukee Avenue, Chicago, IL 60630, USA",CULEX PIPIENS,46.0, N MILWAUKEE AVE,T003,"4600  N MILWAUKEE AVE, Chicago, IL",41.964242,-87.757639,8.0,6.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6964,2007-09-24,"6000 North Avondale Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,60.0, N AVONDALE AVE,T006,"6000  N AVONDALE AVE, Chicago, IL",41.990284,-87.797127,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6966,2007-09-24,"7000 North Moselle Avenue, Chicago, IL 60646, USA",CULEX PIPIENS,70.0, N MOSELL AVE,T008,"7000  N MOSELL AVE, Chicago, IL",42.008314,-87.77792099999999,9.0,15.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
6968,2007-09-24,"6100 North Lemont Avenue, Chicago, IL 60646, USA",CULEX PIPIENS/RESTUANS,61.0, N LEMONT AVE,T012,"6100  N LEMONT AVE, Chicago, IL",41.991429,-87.747113,8.0,3.0,0.0,1,90,68,79,18,63,68,0,14,0541,1746, ,0,M,0.0,0.00,29.27,29.99,11.4,19,11.9
